Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt]
10/16/2019 5:59:20 PM,38,PAU,57:42.6,00:10.0,0,0,A123_2p5Ah_ageing_90k_case,3.4522,0,23.6187,0,0,0
10/16/2019 5:59:30 PM,38,PAU,57:52.6,00:20.0,0,0,A123_2p5Ah_ageing_90k_case,3.452,0,23.7255,0,0,0
10/16/2019 5:59:40 PM,38,PAU,58:02.6,00:30.0,0,0,A123_2p5Ah_ageing_90k_case,3.4517,0,23.6187,0,0,0
10/16/2019 5:59:50 PM,38,PAU,58:12.6,00:40.0,0,0,A123_2p5Ah_ageing_90k_case,3.4515,0,23.7255,0,0,0
10/16/2019 6:00:00 PM,38,PAU,58:22.6,00:50.0,0,0,A123_2p5Ah_ageing_90k_case,3.4514,0,23.6187,0,0,0
10/16/2019 6:00:10 PM,38,PAU,58:32.6,01:00.0,0,0,A123_2p5Ah_ageing_90k_case,3.4512,0,23.6187,0,0,0
10/16/2019 6:00:10 PM,38,PAU,58:32.6,01:00.0,0,0,A123_2p5Ah_ageing_90k_case,3.4512,0,23.6187,0,0,0
10/16/2019 6:00:20 PM,39,DCH,58:42.6,00:10.0,0,0,A123_2p5Ah_ageing_90k_case,3.3665,-2.4998,23.7255,-0.0069,-0.0235,0
10/16/2019 6:00:30 PM,39,DCH,58:52.6,00:20.0,0,0,A123_2p5Ah_ageing_90k_case,3.3375,-2.4998,23.7255,-0.0139,-0.0468,0
10/16/2019 6:00:40 PM,39,DCH,59:02.6,00:30.0,0,0,A123_2p5Ah_ageing_90k_case,3.3198,-2.4998,23.7255,-0.0208,-0.0699,0
10/16/2019 6:00:50 PM,39,DCH,59:12.6,00:40.0,0,0,A123_2p5Ah_ageing_90k_case,3.3083,-2.4998,23.7255,-0.0278,-0.0929,0
10/16/2019 6:01:00 PM,39,DCH,59:22.6,00:50.0,0,0,A123_2p5Ah_ageing_90k_case,3.3004,-2.4998,23.6187,-0.0347,-0.1159,0
10/16/2019 6:01:10 PM,39,DCH,59:32.6,01:00.0,0,0,A123_2p5Ah_ageing_90k_case,3.295,-2.4998,23.7255,-0.0417,-0.1387,0
10/16/2019 6:01:20 PM,39,DCH,59:42.6,01:10.0,0,0,A123_2p5Ah_ageing_90k_case,3.2914,-2.4998,23.6187,-0.0486,-0.1616,0
10/16/2019 6:01:30 PM,39,DCH,59:52.6,01:20.0,0,0,A123_2p5Ah_ageing_90k_case,3.2889,-2.4972,23.6187,-0.0555,-0.1845,0
10/16/2019 6:01:40 PM,39,DCH,00:02.6,01:30.0,0,0,A123_2p5Ah_ageing_90k_case,3.2872,-2.4998,23.6187,-0.0625,-0.2073,0
